iter,rsq,rank,noise,N,b,k,pairs_avg,pairs_var,items_var,is_bibd
232,0.9970869102745735,FALSE,1.3157965377904475,665,13,4,1,0,0,TRUE
233,0.9790440846806084,FALSE,1.1055858868639916,1287,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
234,0.9276738880747292,FALSE,1.3884151738602668,1674,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
235,0.9452187635859912,FALSE,0.7222876746673137,1683,16,3,0.6153846153846154,0,0.23076923076923078,FALSE
236,0.9392938120486222,FALSE,1.284808128606528,333,10,3,0.38461538461538464,0,0.23076923076923078,FALSE
237,0.9127972772661299,FALSE,0.5036643405910581,1169,10,5,0.9743589743589743,0.29894736842105263,0.14102564102564102,FALSE
238,0.9421521992354669,FALSE,1.2581947166472673,1547,10,3,0.38461538461538464,0,0.23076923076923078,FALSE
239,0.9824126676050847,FALSE,0.5486165678594261,1358,14,4,1,0.07192807192807193,0.23076923076923078,FALSE
240,0.9662365166969976,FALSE,1.0698403306305408,875,10,5,0.9743589743589743,0.29894736842105263,0.14102564102564102,FALSE
241,0.9888345186281323,FALSE,1.2939759423024952,1474,12,4,0.8974358974358975,0.028157349896480333,0.23076923076923078,FALSE
242,0.9559774988484941,FALSE,1.0565012018196285,428,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
